N,rep,method,est,ci_half,theta_true
1000,0,oracle,0.5700621001227032,0.03134459772025394,0.5863548401836014
1000,0,proposed,0.6024132084799345,0.04514856861812428,0.5863548401836014
1000,0,baseline,0.5213901134225181,0.06007998804138787,0.5863548401836014
1000,1,oracle,-0.844709366,0.03246860910915146,-0.842693989
1000,1,proposed,-0.893849352,0.05013928918719931,-0.842693989
1000,1,baseline,-0.953750809,0.07083840062048297,-0.842693989
1000,2,oracle,-0.806707489,0.03037970836623189,-0.804200744
1000,2,proposed,-0.836290479,0.04313617233378054,-0.804200744
1000,2,baseline,-0.908963071,0.06216585762859343,-0.804200744
1000,3,oracle,-0.983136158,0.03202662478695405,-0.985067259
1000,3,proposed,-1.000695406,0.04934675226229615,-0.985067259
1000,3,baseline,-1.105823368,0.07653268526685607,-0.985067259
1000,4,oracle,0.608286041928737,0.03308946799953669,0.5976777780834192
1000,4,proposed,0.6285625564994721,0.049292263676043925,0.5976777780834192
1000,4,baseline,0.5496716604664575,0.06472780356641514,0.5976777780834192
1000,5,oracle,-0.797544971,0.030951317256679208,-0.781835157
1000,5,proposed,-0.79229258,0.05108601119313563,-0.781835157
1000,5,baseline,-0.868822741,0.07631900802678772,-0.781835157
1000,6,oracle,0.5663607123550155,0.03279584569271085,0.5608565261392087
1000,6,proposed,0.5462048669563861,0.048180295195873045,0.5608565261392087
1000,6,baseline,0.518902205069237,0.06581629665726327,0.5608565261392087
1000,7,oracle,0.6003007962345981,0.03201990516171559,0.6082874275402694
1000,7,proposed,0.6065995379715019,0.0492535182022654,0.6082874275402694
1000,7,baseline,0.5994833936701396,0.06386043172211806,0.6082874275402694
1000,8,oracle,0.8723491870443232,0.03178507262883759,0.8649896430098771
1000,8,proposed,0.8728421819143002,0.05137879904397015,0.8649896430098771
1000,8,baseline,0.858532605058379,0.06919667828995683,0.8649896430098771
1000,9,oracle,-0.923358845,0.03104781491070419,-0.919724054
1000,9,proposed,-0.947688122,0.05190571095016342,-0.919724054
1000,9,baseline,-1.026302314,0.07836541099265838,-0.919724054
1000,10,oracle,0.5578974216544113,0.03207758980395925,0.5555507435690578
1000,10,proposed,0.5226339201666876,0.04501974971476932,0.5555507435690578
1000,10,baseline,0.46418426341050284,0.0535969824501228,0.5555507435690578
1000,11,oracle,0.4813318991996187,0.03185731375884491,0.4555728110646943
1000,11,proposed,0.4982672775599959,0.04767169519986388,0.4555728110646943
1000,11,baseline,0.43871419393341793,0.06780141512661088,0.4555728110646943
1000,12,oracle,-0.818625063,0.03232118843141008,-0.824354595
1000,12,proposed,-0.847763871,0.050243552186208254,-0.824354595
1000,12,baseline,-0.946837076,0.07806284537601944,-0.824354595
1000,13,oracle,0.6836230586102038,0.03101289617522035,0.6963287731746819
1000,13,proposed,0.6758919059251165,0.046902456821898295,0.6963287731746819
1000,13,baseline,0.6731621750411722,0.06306876932342717,0.6963287731746819
1000,14,oracle,0.8131314723577877,0.031067097951948654,0.806594039347073
1000,14,proposed,0.786680849955308,0.043938095718788435,0.806594039347073
1000,14,baseline,0.6769445987227198,0.0541622175461985,0.806594039347073
1000,15,oracle,-0.651219793,0.03176377916369763,-0.636197431
1000,15,proposed,-0.628259129,0.0485850520756602,-0.636197431
1000,15,baseline,-0.712594558,0.07252753941028318,-0.636197431
1000,16,oracle,0.7390894122626622,0.03127781127120476,0.718357136142763
1000,16,proposed,0.7350047528957128,0.05158488553034681,0.718357136142763
1000,16,baseline,0.6518520616446808,0.06734026288727431,0.718357136142763
1000,17,oracle,0.9680647582851442,0.031182565532937998,0.9425040160270524
1000,17,proposed,0.9832512816874637,0.05258991546330198,0.9425040160270524
1000,17,baseline,0.9225510766114695,0.06928285861267959,0.9425040160270524
1000,18,oracle,-0.400467517,0.031982546608979374,-0.428505684
1000,18,proposed,-0.38729539,0.04701072412918502,-0.428505684
1000,18,baseline,-0.475324793,0.06476670419747349,-0.428505684
1000,19,oracle,0.4165753840867516,0.0318001724077949,0.40826872932843816
1000,19,proposed,0.39693690857419595,0.0457392259505359,0.40826872932843816
1000,19,baseline,0.30610111881763835,0.06023197052663125,0.40826872932843816
1000,20,oracle,0.8054548313218599,0.030161723322352126,0.8116874365270128
1000,20,proposed,0.7664221021498328,0.04605228544154742,0.8116874365270128
1000,20,baseline,0.760246818223013,0.058327277963381566,0.8116874365270128
1000,21,oracle,0.4526458358617285,0.03253934045077812,0.4419923934689379
1000,21,proposed,0.44148102221555374,0.04574565238614082,0.4419923934689379
1000,21,baseline,0.37076022197683384,0.056858024515017605,0.4419923934689379
1000,22,oracle,0.88328422155188,0.03160683434064471,0.8793067652253128
1000,22,proposed,0.8688557095880723,0.045322001457317546,0.8793067652253128
1000,22,baseline,0.761312368027351,0.06022899984316782,0.8793067652253128
1000,23,oracle,-0.615140018,0.031072769739666238,-0.60181071
1000,23,proposed,-0.587425283,0.052524841174867984,-0.60181071
1000,23,baseline,-0.667106184,0.07460530453853037,-0.60181071
1000,24,oracle,0.6950883740334668,0.030746162844760228,0.691931497864297
1000,24,proposed,0.6723353901201999,0.04515724267518692,0.691931497864297
1000,24,baseline,0.5999062524639357,0.05629599018857194,0.691931497864297
1000,25,oracle,0.5594822750290446,0.03192943442816308,0.5584193292835582
1000,25,proposed,0.5445324941939095,0.04501688008268318,0.5584193292835582
1000,25,baseline,0.4204928682630825,0.057897156705443154,0.5584193292835582
1000,26,oracle,0.7606877308613852,0.03254073654277013,0.7691770686313574
1000,26,proposed,0.7448307354712035,0.0486737413055569,0.7691770686313574
1000,26,baseline,0.6917692853838195,0.06118420145534547,0.7691770686313574
1000,27,oracle,0.5466248238880033,0.03119640785283124,0.5723038309422516
1000,27,proposed,0.5144044228760307,0.04380502474223401,0.5723038309422516
1000,27,baseline,0.4624197636532379,0.05343620921820323,0.5723038309422516
1000,28,oracle,-0.471539387,0.03245989831403519,-0.454165321
1000,28,proposed,-0.452810606,0.04717258785754976,-0.454165321
1000,28,baseline,-0.566725734,0.06786422064889085,-0.454165321
1000,29,oracle,-0.715244175,0.029921856895358905,-0.685278666
1000,29,proposed,-0.71913168,0.046364283005733455,-0.685278666
1000,29,baseline,-0.80564966,0.07329618075847483,-0.685278666
100,0,oracle,-0.633218934,0.10943108664542212,-0.63847273
100,0,proposed,-0.491316878,0.20870617475307232,-0.63847273
100,0,baseline,-0.698406972,0.25978115582719735,-0.63847273
100,1,oracle,0.6979286783187395,0.09682834159739372,0.6807077962443804
100,1,proposed,0.7801541284482909,0.17215435909143148,0.6807077962443804
100,1,baseline,0.6188129179476983,0.23649340150324805,0.6807077962443804
100,2,oracle,0.4640968667877745,0.10939380057603461,0.46234947382165836
100,2,proposed,0.3762536730537871,0.2045857208829637,0.46234947382165836
100,2,baseline,0.2765292729151193,0.25128802622789487,0.46234947382165836
100,3,oracle,0.678655761416523,0.08899286571185983,0.6252003123684462
100,3,proposed,0.6642420284317394,0.2109031223060427,0.6252003123684462
100,3,baseline,0.4931543839882711,0.24711972082572983,0.6252003123684462
100,4,oracle,-0.695088042,0.09096588579163845,-0.598569052
100,4,proposed,-0.400628302,0.2345176072620728,-0.598569052
100,4,baseline,-0.356296375,0.26585148767638495,-0.598569052
100,5,oracle,0.8367955723018862,0.08551948765223102,0.9033051859984136
100,5,proposed,0.7298598865710949,0.21489386434114027,0.9033051859984136
100,5,baseline,0.7161418029835902,0.2990435168896667,0.9033051859984136
100,6,oracle,0.9529441693750911,0.11159999239133016,0.9612609603360399
100,6,proposed,0.9130043384053845,0.2211323240164466,0.9612609603360399
100,6,baseline,0.6664236768811035,0.2197287211515927,0.9612609603360399
100,7,oracle,0.706715459890987,0.09463849094263942,0.7315055213788233
100,7,proposed,0.8221636520595226,0.16724579902749992,0.7315055213788233
100,7,baseline,0.6713894307473975,0.19124480323759846,0.7315055213788233
100,8,oracle,0.8283416686185945,0.09423091770440062,0.9071269547286648
100,8,proposed,0.8188271100579808,0.17092211450146963,0.9071269547286648
100,8,baseline,0.8192993305677827,0.20678103680135404,0.9071269547286648
100,9,oracle,-0.512135244,0.1045080429805143,-0.428218177
100,9,proposed,-0.358584886,0.11800079071729111,-0.428218177
100,9,baseline,-0.297414079,0.1556630673190228,-0.428218177
100,10,oracle,-0.831806724,0.11365262741594032,-0.867533487
100,10,proposed,-0.795997312,0.2602035626384315,-0.867533487
100,10,baseline,-1.004353439,0.3612706971881701,-0.867533487
100,11,oracle,-0.906244097,0.10132482133794214,-0.972937551
100,11,proposed,-0.944515422,0.17396663020219036,-0.972937551
100,11,baseline,-1.026682643,0.19661754818527927,-0.972937551
100,12,oracle,0.7189426030505869,0.09822254049003815,0.7781745148526928
100,12,proposed,0.7604031608855985,0.13944913486079788,0.7781745148526928
100,12,baseline,0.7550843758067398,0.18102617711016744,0.7781745148526928
100,13,oracle,-0.917083969,0.08593115618011758,-0.955524628
100,13,proposed,-0.669060379,0.20980333953436395,-0.955524628
100,13,baseline,-0.584933344,0.22959498187710967,-0.955524628
100,14,oracle,-0.67674776,0.10571161813615242,-0.652788563
100,14,proposed,-0.759006237,0.19817486036383422,-0.652788563
100,14,baseline,-1.257642378,0.26329363883331225,-0.652788563
100,15,oracle,0.5438449662956621,0.09497767531722033,0.5696463809789458
100,15,proposed,0.48898760359961746,0.2239836654464381,0.5696463809789458
100,15,baseline,0.4816738969608386,0.2805402990622136,0.5696463809789458
100,16,oracle,0.8380674429693944,0.10206197264498014,0.7967945880698647
100,16,proposed,0.7205303052986216,0.18607797631068893,0.7967945880698647
100,16,baseline,0.8858858283815239,0.26114559196642384,0.7967945880698647
100,17,oracle,-0.613569244,0.10355319961660103,-0.599378083
100,17,proposed,-0.414128376,0.15763260174031685,-0.599378083
100,17,baseline,-0.60406505,0.18030613547304294,-0.599378083
100,18,oracle,0.6905496981358007,0.1026153030965658,0.7563554166898674
100,18,proposed,0.8802699584915025,0.27031484145232043,0.7563554166898674
100,18,baseline,0.742610370697292,0.2901406464959665,0.7563554166898674
100,19,oracle,0.477232062554511,0.11993888576320712,0.4679105621864553
100,19,proposed,0.3256248885069579,0.16572927407312868,0.4679105621864553
100,19,baseline,0.5244885901696852,0.1954245537227666,0.4679105621864553
100,20,oracle,0.8164296459796817,0.0922665527376898,0.8367425443945962
100,20,proposed,0.7921482142557037,0.24090595554100808,0.8367425443945962
100,20,baseline,0.824960293003236,0.3174845458137543,0.8367425443945962
100,21,oracle,-0.784926799,0.10776464548741144,-0.822525761
100,21,proposed,-0.594003346,0.17687257091303446,-0.822525761
100,21,baseline,-0.628811872,0.21754539738932976,-0.822525761
100,22,oracle,0.7011184881641657,0.08947115936802465,0.5840473391508749
100,22,proposed,0.7510149663265444,0.20898013875545907,0.5840473391508749
100,22,baseline,0.712339422061069,0.2265603223424076,0.5840473391508749
100,23,oracle,-0.369242502,0.09215376154845921,-0.431058667
100,23,proposed,-0.486326,0.20362845636766266,-0.431058667
100,23,baseline,-0.734998194,0.281949072941644,-0.431058667
100,24,oracle,0.8153302808872158,0.11084297025724582,0.7936676671796745
100,24,proposed,0.7141243138285003,0.1971443519459355,0.7936676671796745
100,24,baseline,0.7222190419325698,0.2223957698769828,0.7936676671796745
100,25,oracle,0.5369491058329756,0.10800092030690449,0.4762198179239205
100,25,proposed,0.2702354780143157,0.1898129400802459,0.4762198179239205
100,25,baseline,0.4182339192679048,0.24171555334906364,0.4762198179239205
100,26,oracle,-0.599839834,0.11416309849870222,-0.653318351
100,26,proposed,-0.704633572,0.28821732407785844,-0.653318351
100,26,baseline,-0.839226811,0.31537159213912264,-0.653318351
100,27,oracle,-0.859478543,0.10864972172011754,-0.792770463
100,27,proposed,-1.005146066,0.25243379620503054,-0.792770463
100,27,baseline,-1.017941103,0.32386398909730163,-0.792770463
100,28,oracle,-0.942000656,0.09693897505109078,-0.980639458
100,28,proposed,-0.689610011,0.12924685802742306,-0.980639458
100,28,baseline,-0.788714064,0.21685600780976985,-0.980639458
100,29,oracle,-0.951551714,0.09798594356914662,-0.987664869
100,29,proposed,-0.831216653,0.20981913944339878,-0.987664869
100,29,baseline,-0.791281564,0.26347835284463417,-0.987664869
200,0,oracle,-0.750410631,0.07724331130980093,-0.758253844
200,0,proposed,-0.69785964,0.13440414859056024,-0.758253844
200,0,baseline,-0.814619427,0.18164201793153842,-0.758253844
200,1,oracle,0.508223155935682,0.07107837589527702,0.4854949970545466
200,1,proposed,0.5312825199822733,0.12409879896206112,0.4854949970545466
200,1,baseline,0.3513649724835665,0.1457131970667848,0.4854949970545466
200,2,oracle,-0.615850527,0.07894254865615744,-0.668333683
200,2,proposed,-0.674097793,0.1437468718326797,-0.668333683
200,2,baseline,-0.794683982,0.18496667752216034,-0.668333683
200,3,oracle,0.6889815049132325,0.07364919971808735,0.6582601470874072
200,3,proposed,0.7540599498492124,0.12866530815869553,0.6582601470874072
200,3,baseline,0.6429052862834586,0.168958485650997,0.6582601470874072
200,4,oracle,0.7863593206925947,0.06353783329877775,0.7321982699019932
200,4,proposed,0.7754958837342137,0.12768142456705628,0.7321982699019932
200,4,baseline,0.6897672509612376,0.16396871681244352,0.7321982699019932
200,5,oracle,0.6460028506506116,0.06928303125401587,0.6954024804053669
200,5,proposed,0.6070377370573166,0.13832833065621847,0.6954024804053669
200,5,baseline,0.593165948873557,0.1760479608032124,0.6954024804053669
200,6,oracle,0.4485276103387965,0.06938504120681863,0.4600789863879301
200,6,proposed,0.49777003379407736,0.12709289864733056,0.4600789863879301
